SD,Order Allocation,,
SD,Settlement Obligation Management,,
SD,Delivery & Receipt Management,,
SD,Securities Fails Processing,,
SD,Trade/Price Reporting,,
SD,Custody Administration,,
SD,Corporate Event Handling,,
SD,Financial Instrument Valuation,,
BA,Corporate Products,,
BD,Trade Finance,,
SD,Letter of Credit,,
SD,Bank Guarantee,,
SD,Trade Finance Services,Y,MarkitWire
BD,Corporate Banking Products,,
SD,Credit Management,Y,"ActivateBB
 ActivateKB
 ActivatePL
 Moodys"
SD,Credit Facility,Y,ActivateBB
 ActivateKB
 ActivatePL
SD,Corporate Current Account,Y,"In-Touch
 Internet Banking
 Text Banking
 Ultracs"
SD,Project Finance Services,,
SD,Limit & Exposure Management,Y,ActivateBB
 ActivateKB
 ActivatePL
SD,Syndicated Loan,,
SD,Cash Management & Account Services,Y,Ultracs
SD,Direct Debit Mandate Management,Y,"In-Touch
 Ultracs"
SD,Direct Debit Fulfillment,Y,"In-Touch
 Ultracs"
SD,Cheque Lock Box,N,
SD,Factoring,Y(?),
BD,Corporate Financing and Advisory Services,,
SD,Corporate Finance Services,,
SD,M&A Advisory Services,,
SD,Corporate Tax Advisory Services,,
SD,Public Offering,,
SD,Private Placement,,
BA,Cross Product Operations,,
BD,Payments,,
SD,Payments Execution,Y,"EFTPOS
 Internet Banking
 In-Touch
 KBMAC
 Mobile Banking
 BNZ PC Banking
 CitiDirect 
 Flo2Cash
 Musicida
 Third Party Exports
 Voyager"
SD,Financial Message Analysis,Y,"Flo2Cash
 Western Union - Reconciliation"
SD,Financial Message Gateway,Y,"EFTPOS
 Flo2Cash
 Voyager"
SD,Correspondent Bank Fulfillment,,
SD,Cheque Processing,Y,"In-Touch
 KBMAC"
SD,Central Cash Holding,Y,
BD,Collateral Administration,,
SD,Collateral Management,,
SD,Collateral Asset Administration,,
SD,Collections,,
BD,Account Management,,
SD,Position Keeping,,
SD,Reward Points Account,,
SD,Accounts Receivable,,
SD,Account Reconciliation,,
SD,Counterparty Risk,,
SD,Position Management,,
SD,Fraud Detection,Y,
SD,Transaction Engine,,
BD,Operational Services,,
SD,Token Inventory,,
SD,Token Tracking,Y,Tieback
SD,Disbursement,,
SD,Open Item Management,,
SD,Leasing Item Administration,,
SD,Dunning,,
SD,Billing Services,,
SD,Rewards Points Administration,,
SD,Consolidated Customer Activity,,
BA,Risk & Compliance,,
BD,Bank Portfolio & Treasury,,
SD,Treasury Management,Y,"Treasury Management System
 Autobahn
 Barx
 CitiDirect 
 Liquidity
 Velocity"
SD,Treasury Administration,Y,"Treasury Management System
 CitiDirect 
 Liquidity
 Velocity"
SD,Asset Securitization,Y,"Treasury Management System
 Velocity"
SD,Asset & Liability Management,Y,"Treasury Management System
 Velocity"
SD,Bank Portfolio Analysis,Y,"Treasury Management System
 Liquidity
 Velocity"
SD,Bank Portfolio Administration,Y,"Treasury Management System
 Velocity"
SD,Stock Lending/Repos,Y,"Treasury Management System
 Velocity"
BD,Models,,
SD,Market Risk Models,,
SD,Financial Instrument Valuation Models,,
SD,Gap Analysis,,
SD,Credit Risk Models,Y,"GDS Swaps Reporting
 Moodys"
SD,Liquidity Risk Models,,
SD,Economic Capital,,
SD,Business Risk Models,,
SD,Customer Behavior Models,,
SD,Fraud Models,,
SD,Credit/Margin Policies,,
SD,Production Risk Models,,
SD,Operational Risk Models,,
SD,Contribution Models,,
BD,Business Analysis,,
SD,Segment Plan,,
SD,Product Portfolio,,Visa Card Reporting
SD,Customer Portfolio,Y,Visa Card Reporting
SD,Branch Portfolio,,
SD,Channel Portfolio,,
SD,Competitor Analysis,,
SD,Market Research,,
SD,Market Analysis,,
SD,Contribution Analysis,,
BD,Regulations & Compliance,,
SD,Guideline Compliance,Y,
SD,Regulatory Compliance,Y,
SD,Compliance Reporting,Y,
SD,Regulatory Reporting,Y,
SD,Fraud/AML Resolution,Y,"Instinct
 Tieback"
SD,Financial Accounting,,
BA,Business Support,,
BD,IT Management,,
SD,IT Policies & Plan,,
SD,IT Architecture Standards & Guidelines,,
SD,Systems Administration,,
SD,Development Environment,,
SD,System Development,,
SD,Production Release,,
SD,System Deployment,,
SD,Systems Operations,,
SD,Platform Operations,,
